text,id,label,labelvalue
#Breaking: Pentagon releases video of the “mother of all bombs” being dropped in Afghanistan $URL$,852844529778601985,false,1
Rep. Sheila Jackson Lee has no shame. I still laugh over her insistence years ago that hurricanes have African American sounding names!,443938194715713536,true,0
"ICYMI: ""Rep Sheila Jackson Lee (D-Tx) Wants Hurricanes To Be Given 'African-American Names'""
$URL$ $URL$",774165935041093633,true,0
"In 2003, Houston U.S. Rep. Sheila Jackson Lee began calling for hurricanes to have African American names. Agree?",909084965035487232,true,0
Noah’s Ark Theme Park Destroyed in a Flood? $URL$,897502435593265152,false,1
$MENTION$ I also haven't forgotten her quote about the people whose homes were destroyed in Hurricane Katrina. “And… $URL$,986750534886424576,true,0
"$MENTION$ $MENTION$_Nader ""And so many of the people in the arena here, you know, were underprivileged anyway, so this… $URL$",986801053168488449,true,0
"My lasting impression of Barbara Bush was the comment she made about Katrina victims. ""And so many of the people in… $URL$",987323105524768769,true,0
"A remembrance.

""What I'm hearing, which is sort of scary, is that they all want to stay in Texas. Everybody is so… $URL$",987801763850809344,true,0
Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - $URL$ via $MENTION$,901939374375370752,false,1
Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims - $URL$ via $MENTION$,902006921523331073,false,1
Black Lives Matter THUGS Blocking Emergency Crews From Reaching Hurricane Victims – Bossfeed.     #ma4t  $URL$,905161219274940416,false,1
This is crazy! #CapeTown #capestorm #weatherforecast $URL$,872367878871408640,false,1
Clinton camp delays Weather Channel ad buy after backlash  $URL$ via $MENTION$ $MENTION$ $URL$,784071228248109057,true,0
"Clinton camp delays Weather Channel ad buy after backlash |  $URL$

SHE HAS NO SHAME",784118929799073793,true,0
Clinton camp delays Weather Channel ad buy after backlash $URL$ $URL$,784216706080178176,true,0
REVERSING COURSE: Clinton camp delays Weather Channel ad buy after backlash $URL$,784316107645603840,true,0
Hillary Caught On Tape Laughing About Irma ‘Wiping Out All Of Those Florida Hillbillies’,909982405167067136,false,1
Hillary Caught On Tape Laughing About Irma ‘Wiping Out All Of Those Florida Hillbillies’ $URL$,910024540578869248,false,1
Hillary Caught On Tape Laughing About Irma ‘Wiping Out All Of Those Florida Hillbillies’ $URL$,910121722149527552,false,1
"Jim Bates, Puerto Rico said:
  Army, Navy, &amp; Fema are helping them. He said: 
    ---CNN LIES!!!!------",914582144952995840,unverified,2
"Jim Bates actually lives in Puerto Rico
They are getting help Army, Navy, FEMA, Ministers &amp; celebrities
Turn off… $URL$",914684276477710336,unverified,2
Here's how to deal with those clumps of floating fire ants in Houston $URL$ $URL$,904200288059494400,true,0
Japan to “drop tanks” full of Fukushima nuclear waste directly into the ocean. $URL$ #Fukushima #Japan #health,897715873145913344,unverified,2
Japan to “drop tanks” full of Fukushima nuclear waste directly into the ocean. $URL$ #Fukushima #radiation #nuclear,935577591850979329,unverified,2
Japan Declare Crisis As Fukushima Reactor Begins Falling Into Ocean $URL$ via $MENTION$,828933929080086528,false,1
"Did celebrities donate millions to Katrina? #Houstonflood
Sandra Bullock donates $1 million for Harvey relief $MENTION$ $URL$",903336023362547715,true,0
"Academy Award-Winning Actress Sandra Bullock Donates $1 Million For Harvey Relief, “We Have… $URL$ $URL$",903528113631584256,true,0
Prince William and Harry donates $100 million to Hurricane Harvey Victims – News360 $URL$,904111594912841729,false,1
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire $URL$,938787800974950400,false,1
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire  $URL$,940078473061609472,false,1
Brilliant......Texas Man Uses Massive Inflatable Dam to Save House $URL$,904762977185808385,true,0
"Category 6? If Hurricane Irma Becomes The Strongest Hurricane In History, It Could Wipe Entire Cities Off The Map $URL$",905290355796533252,false,1
Man who mowed lawn with tornado behind him says he 'was keeping an eye on it.' $URL$ via $MENTION$ #Then off he blew!,872300483272114177,true,0
I bet. You never seen this rare natural phenomena. Lighting hits a River. What a sight. Incredible indeed. $URL$,892781499103277056,false,1
Is the Mississippi River Going Dry? $URL$,919231965471105024,false,1
